index,ensemble_size,Nt_SDE,solver_type,gm_var_ratio,inflation,eps_a,eps_b,rmse_mean
0,20,200,0,0.0,1.0,0.001,0.001,0.9501462059617042
1,20,200,0,0.0,1.0,0.001,0.025,0.28596405613422393
2,20,200,0,0.0,1.0,0.001,0.05,0.40792038911581036
3,20,200,0,0.0,1.0,0.001,0.075,0.5109055883288384
4,20,200,0,0.0,1.0,0.001,0.1,0.6001764085292816
5,20,200,0,0.0,1.0,0.001,0.125,0.6795406856536865
6,20,200,0,0.0,1.0,0.001,0.15,0.7507583402395249
7,20,200,0,0.0,1.0,0.001,0.175,0.816205116868019
8,20,200,0,0.0,1.0,0.001,0.2,0.8761946552991867
9,20,200,0,0.0,1.0,0.001,0.225,0.931883481144905
10,20,200,0,0.0,1.0,0.1,0.001,0.9431756169795991
11,20,200,0,0.0,1.0,0.1,0.025,0.27068759843707085
12,20,200,0,0.0,1.0,0.1,0.05,0.3813230355381966
13,20,200,0,0.0,1.0,0.1,0.075,0.475483524620533
14,20,200,0,0.0,1.0,0.1,0.1,0.5575199099779129
15,20,200,0,0.0,1.0,0.1,0.125,0.6304223598241806
16,20,200,0,0.0,1.0,0.1,0.15,0.6961593285799027
17,20,200,0,0.0,1.0,0.1,0.175,0.7562941009998322
18,20,200,0,0.0,1.0,0.1,0.2,0.8118461133241652
19,20,200,0,0.0,1.0,0.1,0.225,0.863430578827858
20,20,200,0,0.0,1.0,0.2,0.001,0.9393587712049485
21,20,200,0,0.0,1.0,0.2,0.025,0.25190637686848644
22,20,200,0,0.0,1.0,0.2,0.05,0.34691432684659956
23,20,200,0,0.0,1.0,0.2,0.075,0.4281373727917671
24,20,200,0,0.0,1.0,0.2,0.1,0.4987254229784012
25,20,200,0,0.0,1.0,0.2,0.125,0.561195238351822
26,20,200,0,0.0,1.0,0.2,0.15,0.6173526051044465
27,20,200,0,0.0,1.0,0.2,0.175,0.6684668776988982
28,20,200,0,0.0,1.0,0.2,0.2,0.7153836106061935
29,20,200,0,0.0,1.0,0.2,0.225,0.7587008745670318
30,20,200,0,0.0,1.0,0.3,0.001,0.9437118505239486
31,20,200,0,0.0,1.0,0.3,0.025,0.2307243402898312
32,20,200,0,0.0,1.0,0.3,0.05,0.30508889356255536
33,20,200,0,0.0,1.0,0.3,0.075,0.36869906878471376
34,20,200,0,0.0,1.0,0.3,0.1,0.42335489255189895
35,20,200,0,0.0,1.0,0.3,0.125,0.4710653945207596
36,20,200,0,0.0,1.0,0.3,0.15,0.5133869921565056
37,20,200,0,0.0,1.0,0.3,0.175,0.5513921552300454
38,20,200,0,0.0,1.0,0.3,0.2,0.5858145792484283
39,20,200,0,0.0,1.0,0.3,0.225,0.6172331901788711
40,20,200,0,0.0,1.0,0.4,0.001,0.9397526227235794
41,20,200,0,0.0,1.0,0.4,0.025,0.20869008895754812
42,20,200,0,0.0,1.0,0.4,0.05,0.2600824706852436
43,20,200,0,0.0,1.0,0.4,0.075,0.30403806108236314
44,20,200,0,0.0,1.0,0.4,0.1,0.3409579852223396
45,20,200,0,0.0,1.0,0.4,0.125,0.37255352640151973
46,20,200,0,0.0,1.0,0.4,0.15,0.40004567700624466
47,20,200,0,0.0,1.0,0.4,0.175,0.42427593237161637
48,20,200,0,0.0,1.0,0.4,0.2,0.44585399717092516
49,20,200,0,0.0,1.0,0.4,0.225,0.46523544013500207
50,20,200,0,0.0,1.0,0.5,0.001,0.9356298491358757
51,20,200,0,0.0,1.0,0.5,0.025,0.19281852455437182
52,20,200,0,0.0,1.0,0.5,0.05,0.22630182659626005
