index,ensemble_size,inflation,r_loc,neighbor_size,rmse_mean
0,20,0.9,0.0001,0.0,4.812590398311616
1,20,0.9,1.0,2.0,4.991609364032746
2,20,0.9,2.0,5.0,5.090173106193542
3,20,0.9,3.0,7.0,5.083555142402648
4,20,0.9,4.0,10.0,5.03356983089447
5,20,0.9,5.0,13.0,5.157372747421265
6,20,0.9,6.0,15.0,5.081669325828552
7,20,0.9,7.0,18.0,5.08209335899353
8,20,0.9,8.0,21.0,5.2189042892456055
9,20,0.9,9.0,23.0,5.135707986831665
10,20,1.0,0.0001,0.0,10.566190046787263
11,20,1.0,1.0,2.0,0.17819046099483965
12,20,1.0,2.0,5.0,0.17440228863060475
13,20,1.0,3.0,7.0,0.44029751239717
14,20,1.0,4.0,10.0,1.8470446263253693
15,20,1.0,5.0,13.0,3.3177513840198514
16,20,1.0,6.0,15.0,3.999685402393341
17,20,1.0,7.0,18.0,4.321871349811554
18,20,1.0,8.0,21.0,5.246744734287262
19,20,1.0,9.0,23.0,4.542090818405152
20,20,1.1,0.0001,0.0,12.816781064987183
21,20,1.1,1.0,2.0,1.9560471817851064
22,20,1.1,2.0,5.0,0.23748641529679299
23,20,1.1,3.0,7.0,0.16144510689377783
24,20,1.1,4.0,10.0,0.13819655264914038
25,20,1.1,5.0,13.0,1.6212834806591272
26,20,1.1,6.0,15.0,0.15259027145802972
27,20,1.1,7.0,18.0,0.2577188083827496
28,20,1.1,8.0,21.0,2.6702620248645546
29,20,1.1,9.0,23.0,3.929347797870636
30,20,1.2,0.0001,0.0,13.41715746307373
31,20,1.2,1.0,2.0,12.618660320281984
32,20,1.2,2.0,5.0,0.4599969943165778
33,20,1.2,3.0,7.0,0.2717116382420063
34,20,1.2,4.0,10.0,0.2032160384953022
35,20,1.2,5.0,13.0,0.19110973590612412
36,20,1.2,6.0,15.0,1.7909355495274066
37,20,1.2,7.0,18.0,0.19564280115067958
38,20,1.2,8.0,21.0,4.529115972399711
39,20,1.2,9.0,23.0,1.0704253234863281
40,20,1.3,0.0001,0.0,13.816867668151854
41,20,1.3,1.0,2.0,13.401938529968263
42,20,1.3,2.0,5.0,1.0900847838521004
43,20,1.3,3.0,7.0,0.44525348830223077
44,20,1.3,4.0,10.0,1.2600879619419576
45,20,1.3,5.0,13.0,0.23106527578830716
46,20,1.3,6.0,15.0,0.21519485768675803
47,20,1.3,7.0,18.0,0.21144180312752722
48,20,1.3,8.0,21.0,3.9468041038513184
49,20,1.3,9.0,23.0,3.709971039265394
50,20,1.4,0.0001,0.0,14.23661576461792
51,20,1.4,1.0,2.0,13.994559974670413
52,20,1.4,2.0,5.0,4.237654422521591
53,20,1.4,3.0,7.0,0.686839497923851
54,20,1.4,4.0,10.0,2.131080168128013
55,20,1.4,5.0,13.0,0.3346666254401207
56,20,1.4,6.0,15.0,0.2673083487451076
57,20,1.4,7.0,18.0,0.25546374377608305
58,20,1.4,8.0,21.0,0.24143691310286522
59,20,1.4,9.0,23.0,4.5330140709579
60,20,1.5,0.0001,0.0,14.658227697372435
61,20,1.5,1.0,2.0,14.534620775222777
62,20,1.5,2.0,5.0,10.926388792753219
63,20,1.5,3.0,7.0,1.6837497474551202
64,20,1.5,4.0,10.0,2.337475770831108
65,20,1.5,5.0,13.0,5.58127479660511
66,20,1.5,6.0,15.0,2.367248830229044
67,20,1.5,7.0,18.0,4.289309741199016
68,20,1.5,8.0,21.0,4.942227835327388
69,20,1.5,9.0,23.0,4.151833110868931
70,20,1.6,0.0001,0.0,14.898375463485717
71,20,1.6,1.0,2.0,14.885962442398071
72,20,1.6,2.0,5.0,14.352564725875856
73,20,1.6,3.0,7.0,4.598684690356254
74,20,1.6,4.0,10.0,3.4838757623434065
75,20,1.6,5.0,13.0,3.5644798886775972
76,20,1.6,6.0,15.0,3.017366390228271
77,20,1.6,7.0,18.0,3.884447850614786
78,20,1.6,8.0,21.0,1.8278528176546096
79,20,1.6,9.0,23.0,8.602091874033214
80,20,1.7,0.0001,0.0,15.232165369033812
81,20,1.7,1.0,2.0,15.205270872116092
82,20,1.7,2.0,5.0,15.148310615539552
83,20,1.7,3.0,7.0,5.436936012268067
84,20,1.7,4.0,10.0,6.9902216086387625
85,20,1.7,5.0,13.0,7.687160213410854
86,20,1.7,6.0,15.0,9.441882259309292
87,20,1.7,7.0,18.0,10.520955172836782
88,20,1.7,8.0,21.0,11.519972896993158
89,20,1.7,9.0,23.0,12.98222544309497
90,20,1.8,0.0001,0.0,15.448848461151124
91,20,1.8,1.0,2.0,15.597061197280885
92,20,1.8,2.0,5.0,15.540066661834718
93,20,1.8,3.0,7.0,11.59388630115986
94,20,1.8,4.0,10.0,8.97557370686531
95,20,1.8,5.0,13.0,14.457736676573754
96,20,1.8,6.0,15.0,15.243910009860992
97,20,1.8,7.0,18.0,17.175522653222085
98,20,1.8,8.0,21.0,12.616262088298798
99,20,1.8,9.0,23.0,15.73413768270612
