index,ensemble_size,inflation,r_loc,neighbor_size,rmse_mean
0,20,0.9,0.0001,0.0,2.514882082045079
1,20,0.9,1.0,2.0,2.8257365730206168
2,20,0.9,2.0,5.0,3.1378903397570053
3,20,0.9,3.0,7.0,3.6514530590176584
4,20,0.9,4.0,10.0,3.8832622344692544
5,20,0.9,5.0,13.0,4.1869523603121435
6,20,0.9,6.0,15.0,4.412246310353279
7,20,0.9,7.0,18.0,4.528932533025742
8,20,0.9,8.0,21.0,4.671726294199625
9,20,0.9,9.0,23.0,4.707339116096497
10,20,1.0,0.0001,0.0,5.5322515913248065
11,20,1.0,1.0,2.0,0.2572210225264231
12,20,1.0,2.0,5.0,0.23810083241760732
13,20,1.0,3.0,7.0,0.34699105712274714
14,20,1.0,4.0,10.0,1.0232019752164683
15,20,1.0,5.0,13.0,2.0911329665978746
16,20,1.0,6.0,15.0,2.998046607295672
17,20,1.0,7.0,18.0,3.5311951959133148
18,20,1.0,8.0,21.0,4.259319472233455
19,20,1.0,9.0,23.0,4.045651931206385
20,20,1.1,0.0001,0.0,9.986006812949975
21,20,1.1,1.0,2.0,1.4634324459433556
22,20,1.1,2.0,5.0,0.36075802194078765
23,20,1.1,3.0,7.0,0.2436346587290366
24,20,1.1,4.0,10.0,0.23092773905396458
25,20,1.1,5.0,13.0,1.2603924737274648
26,20,1.1,6.0,15.0,0.40085195774336657
27,20,1.1,7.0,18.0,0.5790862972438335
28,20,1.1,8.0,21.0,2.1090405128747225
29,20,1.1,9.0,23.0,3.027495088299116
30,20,1.2,0.0001,0.0,11.415592943986256
31,20,1.2,1.0,2.0,7.83074042459329
32,20,1.2,2.0,5.0,0.48682878031333293
33,20,1.2,3.0,7.0,0.33004346085588143
34,20,1.2,4.0,10.0,0.3322987658580144
35,20,1.2,5.0,13.0,0.2806100579152505
36,20,1.2,6.0,15.0,1.3728935980896155
37,20,1.2,7.0,18.0,0.3371006968170404
38,20,1.2,8.0,21.0,3.006550421709816
39,20,1.2,9.0,23.0,0.8234001960655053
40,20,1.3,0.0001,0.0,12.336651720086733
41,20,1.3,1.0,2.0,10.384611385146778
42,20,1.3,2.0,5.0,0.9173402555584907
43,20,1.3,3.0,7.0,0.6165966357191404
44,20,1.3,4.0,10.0,1.0585376210709412
45,20,1.3,5.0,13.0,0.3193415332436561
46,20,1.3,6.0,15.0,0.3373943486511707
47,20,1.3,7.0,18.0,0.3309821875145038
48,20,1.3,8.0,21.0,2.800185697625081
49,20,1.3,9.0,23.0,2.4513286358664432
50,20,1.4,0.0001,0.0,12.927093760251998
51,20,1.4,1.0,2.0,11.694629000306128
52,20,1.4,2.0,5.0,2.841945134143035
53,20,1.4,3.0,7.0,0.793805976331234
54,20,1.4,4.0,10.0,1.8582739787201086
55,20,1.4,5.0,13.0,0.3914869914352893
56,20,1.4,6.0,15.0,0.36943113440275194
57,20,1.4,7.0,18.0,0.3692860048413277
58,20,1.4,8.0,21.0,0.3739688553015391
59,20,1.4,9.0,23.0,3.5437825856208804
60,20,1.5,0.0001,0.0,13.46965864642461
61,20,1.5,1.0,2.0,12.588529229601225
62,20,1.5,2.0,5.0,6.822082336823146
63,20,1.5,3.0,7.0,1.6095332495570183
64,20,1.5,4.0,10.0,1.856522242685159
65,20,1.5,5.0,13.0,3.860727670152982
66,20,1.5,6.0,15.0,1.815599540332953
67,20,1.5,7.0,18.0,2.464950743665298
68,20,1.5,8.0,21.0,2.722630416284005
69,20,1.5,9.0,23.0,2.5762482789158816
70,20,1.6,0.0001,0.0,13.859266333301864
71,20,1.6,1.0,2.0,13.268397562742232
72,20,1.6,2.0,5.0,9.590389278729758
73,20,1.6,3.0,7.0,3.1915472368796665
74,20,1.6,4.0,10.0,2.2677340376377106
75,20,1.6,5.0,13.0,1.6628492163419721
76,20,1.6,6.0,15.0,1.4037418162027995
77,20,1.6,7.0,18.0,1.8349678002893923
78,20,1.6,8.0,21.0,0.990999698897203
79,20,1.6,9.0,23.0,5.334873551060755
80,20,1.7,0.0001,0.0,14.242597255190214
81,20,1.7,1.0,2.0,13.782545162955921
82,20,1.7,2.0,5.0,11.628299108743667
83,20,1.7,3.0,7.0,3.3018152274886767
84,20,1.7,4.0,10.0,4.634481594562531
85,20,1.7,5.0,13.0,4.42914348556598
86,20,1.7,6.0,15.0,5.5155054861307145
87,20,1.7,7.0,18.0,6.546787365595499
88,20,1.7,8.0,21.0,6.559702734808127
89,20,1.7,9.0,23.0,7.478571160276731
90,20,1.8,0.0001,0.0,14.545938377102214
91,20,1.8,1.0,2.0,14.304415725350381
92,20,1.8,2.0,5.0,12.962185412565868
93,20,1.8,3.0,7.0,7.363003137131533
94,20,1.8,4.0,10.0,5.025817947944005
95,20,1.8,5.0,13.0,8.9266760973533
96,20,1.8,6.0,15.0,8.359210706889629
97,20,1.8,7.0,18.0,10.012316608528296
98,20,1.8,8.0,21.0,6.767689291715622
99,20,1.8,9.0,23.0,10.445455616742372
